2026-09-03 14:32:27.983 INFO  [main] c.p.mcp.InfinityRulesMcpApplication - Starting InfinityRulesMcpApplication v0.6.32 using Java 17.0.12 with PID 14280 (C:\Users\sankh\.claude\plugins\cache\Pega\pega-infinity-authoring\0.0.3\resources\infinity-rules-mcp.jar started by sankh in C:\Metis01)
2026-09-03 14:32:27.995 INFO  [main] c.p.mcp.InfinityRulesMcpApplication - The following 1 profile is active: "stdio"
2026-09-03 14:32:30.064 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-09-03 14:32:30.068 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'serverAnnotatedBeanRegistry' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerAutoConfiguration$ServerMcpAnnotatedBeans] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-09-03 14:32:30.097 WARN  [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.ai.mcp.server.annotation-scanner-org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties' of type [org.springframework.ai.mcp.server.common.autoconfigure.annotations.McpServerAnnotationScannerProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [serverAnnotatedMethodBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-09-03 14:32:30.275 INFO  [main] c.p.mcp.tools.validate.SchemaLoader - Loading JSON schemas from skills directory: C:\Users\sankh\.claude\plugins\cache\Pega\pega-infinity-authoring\0.0.3\resources\pega-skills
2026-09-03 14:32:30.580 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-autoFill - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
2026-09-03 14:32:30.607 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-autoDerived - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
2026-09-03 14:32:30.616 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-hints - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
2026-09-03 14:32:30.635 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-deriveFrom - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
2026-09-03 14:32:30.639 WARN  [main] c.n.s.keyword.UnknownKeywordFactory - Unknown keyword x-pega-condition - you should define your own Meta Schema. If the keyword is irrelevant for validation, just use a NonValidationKeyword or if it should generate annotations AnnotationKeyword
